"Model","term","Estimate","Std. Error","95% CI low","95% CI high","Statistic","P value"
"Plot-level combined species model","(Intercept)",19.142,3.572,11.42,26.863,5.359,"<0.001"
"Plot-level combined species model","speciesSilver",6.114,2.056,2.081,10.147,2.973,"0.003"
"Plot-level combined species model","prop_s_plot",-1.587,2.791,-7.06,3.887,-0.569,"0.570"
"Plot-level combined species model","north_c",-0.264,1.102,-2.711,2.184,-0.239,"0.816"
"Plot-level combined species model","stem_count_c",-0.079,0.058,-0.193,0.035,-1.357,"0.175"
"Plot-level combined species model","year2025",-5.08,1.086,-7.21,-2.95,-4.677,"<0.001"
"Plot-level combined species model","speciesSilver:prop_s_plot",-2.319,3.727,-9.629,4.99,-0.622,"0.534"
"Plot-level combined species model","speciesSilver:north_c",2.324,0.27,1.795,2.853,8.617,"<0.001"
"Plot-level combined species model","speciesSilver:stem_count_c",-0.028,0.081,-0.187,0.132,-0.341,"0.733"
"Stand-level combined species model","(Intercept)",18.123,4.665,8.557,27.689,3.885,"<0.001"
"Stand-level combined species model","speciesSilver",10.453,4.24,2.119,18.787,2.465,"0.014"
"Stand-level combined species model","prop_s_stand",3.562,5.674,-7.591,14.714,0.628,"0.531"
"Stand-level combined species model","mean_north_c",-0.014,1.162,-2.561,2.534,-0.012,"0.991"
"Stand-level combined species model","stem_count_c",0.011,0.106,-0.197,0.219,0.101,"0.920"
"Stand-level combined species model","year2025",-6.678,1.774,-10.165,-3.191,-3.764,"<0.001"
"Stand-level combined species model","speciesSilver:prop_s_stand",-13.551,7.78,-28.844,1.742,-1.742,"0.082"
"Stand-level combined species model","speciesSilver:mean_north_c",2.327,0.548,1.249,3.405,4.243,"<0.001"
"Stand-level combined species model","speciesSilver:stem_count_c",-0.116,0.154,-0.419,0.188,-0.748,"0.455"
