"Model","term","Estimate","Std. Error","95% CI low","95% CI high","Statistic","P value"
"Downy plot-level pellets model","Intercept",19.769,4.463,9.602,29.935,4.429,"0.002"
"Downy plot-level pellets model","Proportion silver (plot)",0.895,2.916,-4.828,6.618,0.307,"0.759"
"Downy plot-level pellets model","Total cervid pellets (log1p)",9.957,2.38,5.286,14.628,4.184,"<0.001"
"Downy plot-level pellets model","North (plot-centered)",-1.362,1.387,-4.626,1.902,-0.982,"0.358"
"Downy plot-level pellets model","Stem count (centered)",-0.029,0.057,-0.14,0.082,-0.517,"0.605"
"Downy plot-level pellets model","Year: 2025",-6.297,1.475,-9.193,-3.402,-4.268,"<0.001"
"Downy plot-level pellets model","Proportion silver × pellets (plot)",-16.206,4.143,-24.337,-8.075,-3.912,"<0.001"
"Downy stand-level pellets model","Intercept",17.883,5.639,6.145,29.621,3.171,"0.005"
"Downy stand-level pellets model","Proportion silver (stand)",1.453,6.086,-10.548,13.453,0.239,"0.812"
"Downy stand-level pellets model","Mean total cervid pellets (log1p)",8.591,6.343,-3.917,21.098,1.354,"0.177"
"Downy stand-level pellets model","North (stand mean, centered)",-1.307,1.373,-4.509,1.894,-0.952,"0.371"
"Downy stand-level pellets model","Stem count (centered)",0.012,0.099,-0.183,0.208,0.126,"0.900"
"Downy stand-level pellets model","Year: 2025",-5.681,2.865,-11.329,-0.032,-1.983,"0.049"
"Downy stand-level pellets model","Proportion silver × pellets (stand)",-2.701,10.569,-23.544,18.141,-0.256,"0.799"
"Species × mixture × pellets model","Intercept",15.232,3.476,7.822,22.641,4.383,"<0.001"
"Species × mixture × pellets model","Species: Silver",7.127,2.268,2.678,11.575,3.142,"0.002"
"Species × mixture × pellets model","Proportion silver (plot)",2.258,2.936,-3.501,8.016,0.769,"0.442"
"Species × mixture × pellets model","Total cervid pellets (log1p)",9.072,2.562,4.047,14.097,3.541,"<0.001"
"Species × mixture × pellets model","North (plot-centered)",0.815,1.028,-1.483,3.113,0.793,"0.447"
"Species × mixture × pellets model","Stem count (centered)",-0.08,0.046,-0.17,0.01,-1.749,"0.080"
"Species × mixture × pellets model","Year: 2025",-3.616,1.266,-6.099,-1.133,-2.857,"0.004"
"Species × mixture × pellets model","Silver × proportion silver (plot)",-2.871,4.09,-10.894,5.152,-0.702,"0.483"
"Species × mixture × pellets model","speciesSilver:total_cervid_pellets_log",2.747,3.533,-4.183,9.677,0.778,"0.437"
"Species × mixture × pellets model","Proportion silver × pellets (plot)",-13.228,4.586,-22.222,-4.234,-2.885,"0.004"
"Species × mixture × pellets model","Silver × proportion silver × pellets",-7.384,6.434,-20.004,5.235,-1.148,"0.251"
